Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_015139575.1	ASM1513957v1	Klebsiella michiganensis		THO-011					GCF_015139575.1-RS_2024_11_27	Complete Genome	2020-10-08		2
GCF_030505655.1	ASM3050565v1	Raoultella ornithinolytica		RoM27LC23					GCF_030505655.1-RS_2024_06_23	Complete Genome	2023-07-19		3
GCF_013388375.1	ASM1338837v1	Xanthomonas campestris pv. raphani		MAFF106181					GCF_013388375.1-RS_2024_05_06	Complete Genome	2020-07-04		1
GCF_030060435.1	ASM3006043v1	Vibrio harveyi		SB1					GCF_030060435.1-RS_2024_05_21	Complete Genome	2023-05-22		3
GCF_003516125.1	ASM351612v3	Cronobacter sakazakii		CS-931					GCF_003516125.1-RS_2024_03_28	Complete Genome	2020-03-18		3
GCF_013488025.1	ASM1348802v1	Pectobacterium carotovorum		WPP14					GCF_013488025.1-RS_2024_12_11	Complete Genome	2020-07-23		1
GCF_028355655.1	ASM2835565v1	Aeromonas salmonicida		AS3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-01-31		2
GCF_007035805.1	ASM703580v1	Enterobacter asburiae		17Nkhm-UP2					GCF_007035805.1-RS_2024_12_13	Complete Genome	2019-05-14		2
GCF_000233595.1	ASM23359v1	Pantoea ananatis PA13		PA13					GCF_000233595.1-RS_2024_09_05	Complete Genome	2011-11-01		2
GCF_017352235.1	ASM1735223v1	Glaesserella parasuis		YHP1818					GCF_017352235.1-RS_2024_12_11	Complete Genome	2021-03-14		2
GCF_043228865.1	ASM4322886v1	Erwinia amylovora		EaSmR					GCF_043228865.1-RS_2024_12_22	Complete Genome	2024-10-18		2
GCF_007971685.1	ASM797168v1	Wolbachia pipientis		wMel_N25					GCF_007971685.1-RS_2025_01_08	Complete Genome	2019-08-12		1
GCF_002906475.1	ASM290647v1	Vibrio campbellii		BoB-53					GCF_002906475.1-RS_2024_11_29	Complete Genome	2018-01-30		2
GCF_020917325.1	ASM2091732v1	Pseudomonas savastanoi		MHT1					GCF_020917325.1-RS_2024_12_09	Complete Genome	2021-11-22		1
GCF_000007765.2	ASM776v2	Coxiella burnetii RSA 493		RSA 493					Annotation submitted by NCBI RefSeq	Complete Genome	2016-11-10		2
GCF_035747985.1	ASM3574798v1	Providencia stuartii		41					GCF_035747985.1-RS_2024_12_09	Complete Genome	2024-01-17		2
GCF_009873295.1	ASM987329v1	Pectobacterium brasiliense		1692					GCF_009873295.1-RS_2024_03_28	Complete Genome	2020-01-14		1
GCF_002285575.1	ASM228557v1	Mannheimia haemolytica		USDA-ARS-USMARC-191					GCF_002285575.1-RS_2024_03_28	Complete Genome	2017-09-05		2
GCF_023374935.1	ASM2337493v1	Citrobacter portucalensis		Cf7303					GCF_023374935.1-RS_2024_03_28	Complete Genome	2022-05-16		3
GCF_002285935.1	ASM228593v1	Aeromonas dhakensis		KN-Mc-6U21					GCF_002285935.1-RS_2024_07_23	Complete Genome	2017-09-05		1
GCF_905367715.1	Xanthomonas sp. CPBF 1494 hybrid assembly 2	Xanthomonas arboricola pv. juglandis					Xanthomonas arboricola pv. juglandis CPBF 1494 isolated from C. illinoinensis		GCF_905367715.1-RS_2024_05_12	Complete Genome	2021-03-24		1
GCF_000011805.1	ASM1180v1	Aliivibrio fischeri ES114		ES114					GCF_000011805.1-RS_2024_03_27	Complete Genome	2008-04-02		3
GCF_028622335.1	ASM2862233v1	Escherichia albertii		BIA_5-2					GCF_028622335.1-RS_2024_03_25	Complete Genome	2023-02-15		2
GCF_023518055.1	ASM2351805v1	Aggregatibacter actinomycetemcomitans		4S					GCF_023518055.1-RS_2024_06_07	Complete Genome	2022-05-23		1
GCF_009648935.1	ASM964893v1	Citrobacter braakii		MiY-A					GCF_009648935.1-RS_2024_12_09	Complete Genome	2019-11-11		1
GCF_023023125.1	ASM2302312v1	Enterobacter kobei		11778-yvys					GCF_023023125.1-RS_2024_03_29	Complete Genome	2022-04-18		2
GCF_001518835.1	ASM151883v1	Leclercia adecarboxylata		USDA-ARS-USMARC-60222					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-01-20		1
GCF_018336855.1	ASM1833685v1	Acinetobacter junii		YR7					GCF_018336855.1-RS_2024_12_11	Complete Genome	2021-05-11		2
GCF_041021905.1	XH1679	Acinetobacter nosocomialis		XH1679					GCF_041021905.1-RS_2024_08_04	Complete Genome	2024-08-04		3
GCF_000145945.2	ASM14594v2	Pseudomonas amygdali pv. tabaci str. ATCC 11528		ATCC 11528					GCF_000145945.2-RS_2024_12_11	Complete Genome	2019-08-15		2
GCF_000733715.2	ASM73371v2	Ectopseudomonas mendocina S5.2		S5.2					GCF_000733715.2-RS_2024_10_22	Complete Genome	2015-11-09		2
GCF_025200655.1	ASM2520065v1	Proteus vulgaris		USDA-ARS-USMARC-49741					GCF_025200655.1-RS_2024_03_29	Complete Genome	2022-09-14		2
GCF_017498685.1	ASM1749868v1	Yersinia ruckeri		KMM821					GCF_017498685.1-RS_2024_03_28	Complete Genome	2021-03-21		3
GCF_022812045.1	ASM2281204v1	Vibrio splendidus		2_C04b					GCF_022812045.1-RS_2024_05_12	Complete Genome	2022-04-04		2
GCF_001654515.1	ASM165451v1	Pseudomonas koreensis		CRS05-R5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-06-02		1
GCF_000783935.2	ASM78393v2	Raoultella planticola		FDAARGOS_64					GCF_000783935.2-RS_2024_12_09	Complete Genome	2018-01-30		3
GCF_019890955.1	ASM1989095v1	Pantoea dispersa		Lsch					GCF_019890955.1-RS_2024_03_28	Complete Genome	2021-09-07		3
GCF_002849875.1	ASM284987v1	Alteromonas macleodii		Te101					GCF_002849875.1-RS_2024_12_13	Complete Genome	2018-01-03		2
GCF_003258335.1	ASM325833v1	Acinetobacter radioresistens		LH6					GCF_003258335.1-RS_2024_12_09	Complete Genome	2018-06-20		1
GCF_009708955.1	ASM970895v1	Piscirickettsia salmonis		Psal-070					GCF_009708955.1-RS_2024_05_13	Complete Genome	2019-11-26		3
GCF_003671975.1	ASM367197v1	Pseudomonas monteilii		B5					GCF_003671975.1-RS_2024_03_28	Complete Genome	2018-10-22		2
GCF_011044475.1	ASM1104447v1	Pantoea stewartii		ZJ-FGZX1					GCF_011044475.1-RS_2024_04_27	Complete Genome	2020-03-01		3
GCF_000214235.1	ASM21423v1	Serratia plymuthica AS9		AS9					GCF_000214235.1-RS_2024_03_28	Complete Genome	2011-05-20		1
GCF_003391255.1	ASM339125v1	Pseudomonas plecoglossicida		XSDHY-P					GCF_003391255.1-RS_2024_04_22	Complete Genome	2018-08-15		1
GCF_038086725.1	ASM3808672v1	Photobacterium damselae subsp. damselae		WMD-P2					GCF_038086725.1-RS_2024_09_29	Complete Genome	2024-04-15		3
GCF_011801455.1	ASM1180145v1	Vibrio diabolicus		FA3					GCF_011801455.1-RS_2024_12_13	Complete Genome	2020-03-31		2
GCF_002028325.1	ASM202832v1	Pseudomonas veronii		R02					GCF_002028325.1-RS_2024_12_09	Complete Genome	2017-03-15		1
GCF_011765605.1	ASM1176560v1	Avibacterium paragallinarum		ESV-135					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-03-29		1
GCF_029541605.1	ASM2954160v1	Vibrio coralliilyticus		Rb102					GCF_029541605.1-RS_2024_04_02	Complete Genome	2023-04-03		3
GCF_000740965.1	ASM74096v1	Pectobacterium atrosepticum		21A					GCF_000740965.1-RS_2024_03_28	Complete Genome	2014-08-18		2
GCF_020991025.1	ASM2099102v1	Plesiomonas shigelloides		7A					GCF_020991025.1-RS_2024_12_11	Complete Genome	2021-11-28		3
GCF_009914475.1	ASM991447v1	Acinetobacter indicus		TQ23					GCF_009914475.1-RS_2024_12_09	Complete Genome	2020-01-22		3
GCF_016576965.1	ASM1657696v1	Acinetobacter bereziniae		GD03185					GCF_016576965.1-RS_2024_12_09	Complete Genome	2020-12-20		2
GCF_018139125.1	ASM1813912v1	Acinetobacter soli		M3-1-68					GCF_018139125.1-RS_2024_12_09	Complete Genome	2021-04-25		2
GCF_017301775.1	ASM1730177v1	Xanthomonas translucens pv. undulosa		XtLr8					GCF_017301775.1-RS_2024_05_06	Complete Genome	2021-03-08		3
GCF_002736065.1	ASM273606v1	Pseudomonas mosselii		PtA1					GCF_002736065.1-RS_2024_12_13	Complete Genome	2017-10-30		1
GCF_008370715.1	ASM837071v1	Pseudomonas brassicacearum		3Re2-7					GCF_008370715.1-RS_2024_03_28	Complete Genome	2019-09-12		1
GCF_015476275.1	ASM1547627v1	Pseudomonas fragi		NL20W					GCF_015476275.1-RS_2024_12_09	Complete Genome	2020-11-15		2
GCF_002080125.1	ASM208012v1	Moraxella catarrhalis		CCRI-195ME					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-04-05		2
GCF_022354085.1	ASM2235408v1	Shigella dysenteriae		SWHEFF_49					GCF_022354085.1-RS_2024_03_28	Complete Genome	2022-02-22		2
GCF_017309605.1	ASM1730960v1	Serratia ureilytica		T6					GCF_017309605.1-RS_2024_04_08	Complete Genome	2021-03-09		1
GCF_039634495.1	ASM3963449v1	Pseudomonas fulva		NY5087					GCF_039634495.1-RS_2024_05_15	Complete Genome	2024-05-15		3
GCF_003323815.1	ASM332381v1	Acinetobacter haemolyticus		HW-2A					GCF_003323815.1-RS_2024_12_09	Complete Genome	2018-07-16		1
GCF_019343495.1	ASM1934349v1	Acinetobacter lwoffii		H7					GCF_019343495.1-RS_2024_03_28	Complete Genome	2021-07-26		6
GCF_002285515.1	ASM228551v1	Xanthomonas hortorum		B07-007					GCF_002285515.1-RS_2024_05_05	Complete Genome	2017-09-05		2
GCF_008639345.1	ASM863934v1	Xanthomonas phaseoli pv. dieffenbachiae		D182					GCF_008639345.1-RS_2024_08_16	Complete Genome	2019-09-23		2
GCF_000018045.1	ASM1804v1	Citrobacter koseri ATCC BAA-895		ATCC BAA-895					GCF_000018045.1-RS_2024_04_22	Complete Genome	2007-09-11		3
GCF_000178875.2	ASM17887v2	Shewanella baltica OS678		OS678					GCF_000178875.2-RS_2024_09_05	Complete Genome	2010-12-21		2
GCF_004768745.1	ASM476874v1	Serratia nematodiphila		DH-S01					GCF_004768745.1-RS_2024_04_27	Complete Genome	2019-04-10		1
GCF_025758125.1	ASM2575812v1	Kosakonia cowanii		LT-1					GCF_025758125.1-RS_2024_11_18	Complete Genome	2022-10-19		2
GCF_010918895.1	ASM1091889v1	Acinetobacter schindleri		HZE30-1					GCF_010918895.1-RS_2024_03_28	Complete Genome	2020-02-21		9
GCF_029457395.1	ASM2945739v1	Pseudomonas nitroreducens		L4					GCF_029457395.1-RS_2024_03_29	Complete Genome	2023-03-29		1
GCF_034358925.1	ASM3435892v1	Pseudomonas asiatica		Teo6					GCF_034358925.1-RS_2024_12_09	Complete Genome	2023-12-13		3
GCF_011617105.1	ASM1161710v1	Hafnia alvei		A23BA					GCF_011617105.1-RS_2024_03_29	Complete Genome	2020-03-23		2
GCF_002021755.1	ASM202175v1	Vibrio owensii		XSBZ03					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-03-06		2
GCF_000297075.2	Ppseudo_final	Ectopseudomonas oleovorans CECT 5344		CECT5344					GCF_000297075.2-RS_2024_10_21	Complete Genome	2014-02-04		1
GCF_000934565.1	ASM93456v1	Pseudomonas simiae		PCL1751					GCF_000934565.1-RS_2024_03_28	Complete Genome	2015-02-25		1
GCF_002355975.1	ASM235597v1	Lysobacter enzymogenes		M497-1					GCF_002355975.1-RS_2024_05_05	Complete Genome	2016-11-25		1
GCF_016064815.1	ASM1606481v1	Acinetobacter seifertii		S21					GCF_016064815.1-RS_2024_11_28	Complete Genome	2020-12-15		1
GCF_014109845.1	ASM1410984v1	Stenotrophomonas acidaminiphila		T0-18					GCF_014109845.1-RS_2024_05_06	Complete Genome	2020-08-07		3
GCF_021733145.1	ASM2173314v1	Edwardsiella piscicida		18EpOKYJ					GCF_021733145.1-RS_2024_03_28	Complete Genome	2022-01-31		2
GCF_001586155.1	ASM158615v1	Pseudomonas citronellolis		P3B5					GCF_001586155.1-RS_2024_03_28	Complete Genome	2016-03-10		1
GCF_022014715.1	ASM2201471v1	Enterobacter mori		ACYC.E9L					GCF_022014715.1-RS_2024_05_29	Complete Genome	2022-02-06		2
GCF_020423125.1	ASM2042312v1	Aeromonas media		TR3_1					GCF_020423125.1-RS_2024_11_18	Complete Genome	2021-10-12		2
GCF_900184295.1	Chr_1	Pseudomonas viridiflava		CFBP 1590			E12-5		GCF_900184295.1-RS_2024_09_15	Complete Genome	2017-06-13		1
GCF_003074995.2	ASM307499v2	Edwardsiella ictaluri		S07-698					GCF_003074995.2-RS_2024_03_28	Complete Genome	2021-10-12		3
GCF_011045835.1	ASM1104583v1	Proteus terrae subsp. cibarius		ZN2					GCF_011045835.1-RS_2024_12_11	Complete Genome	2020-03-02		3
GCF_000046845.1	ASM4684v1	Acinetobacter baylyi ADP1		ADP1					GCF_000046845.1-RS_2024_03_28	Complete Genome	2004-06-30		1
GCF_011397855.1	ASM1139785v1	Metapseudomonas otitidis		MrB4					GCF_011397855.1-RS_2024_10_23	Complete Genome	2020-02-20		1
GCF_024971755.1	ASM2497175v1	Shewanella xiamenensis		HD6416					GCF_024971755.1-RS_2024_09_20	Complete Genome	2022-09-06		2
GCF_021432085.1	ASM2143208v1	Stutzerimonas kunmingensis		7850S					GCF_021432085.1-RS_2024_03_13	Complete Genome	2022-01-11		1
GCF_029962465.1	ASM2996246v1	Escherichia marmotae		YF8					GCF_029962465.1-RS_2024_05_13	Complete Genome	2023-05-10		2
GCF_008693645.1	ASM869364v1	Citrobacter werkmanii		FDAARGOS_616					GCF_008693645.1-RS_2024_11_06	Complete Genome	2019-09-25		2
GCF_020150375.1	ASM2015037v1	Hafnia paralvei		AVS0177					GCF_020150375.1-RS_2024_09_23	Complete Genome	2021-09-26		3
GCF_002887555.1	ASM288755v1	Dickeya zeae		MS2					GCF_002887555.1-RS_2024_12_09	Complete Genome	2018-01-17		1
GCF_000019405.1	ASM1940v1	Histophilus somni 2336		2336					GCF_000019405.1-RS_2024_12_09	Complete Genome	2008-02-26		1
GCF_042137965.1	sbm_k_grim_1	Klebsiella grimontii		2750					GCF_042137965.1-RS_2024_12_22	Complete Genome	2024-09-23		2
GCF_014697095.1	ASM1469709v1	Vreelandella titanicae		SOB56					GCF_014697095.1-RS_2024_04_07	Complete Genome	2020-09-22		1
GCF_019797925.1	ASM1979792v1	Pseudoalteromonas piscicida		WCPW15003					GCF_019797925.1-RS_2024_03_28	Complete Genome	2021-08-30		2
GCF_001597285.1	ASM159728v1	Aquipseudomonas alcaligenes		NEB 585					GCF_001597285.1-RS_2024_10_22	Complete Genome	2016-03-25		1
GCF_005877035.1	ASM587703v1	Pseudoalteromonas distincta		16-SW-7					GCF_005877035.1-RS_2024_08_18	Complete Genome	2019-05-28		2
GCF_000021045.1	ASM2104v1	Azotobacter vinelandii DJ		DJ; ATCC BAA-1303					GCF_000021045.1-RS_2024_12_11	Complete Genome	2009-04-14		1
GCF_041519315.1	NCPPB972v1_ONT	Xanthomonas axonopodis pv. maculifoliigardeniae		NCPPB 972					GCF_041519315.1-RS_2024_12_22	Complete Genome	2024-08-29		2
GCF_000277895.2	ASM27789v2	Xanthomonas vasicola pv. musacearum NCPPB 4379		NCPPB 4379					GCF_000277895.2-RS_2024_05_06	Complete Genome	2018-12-27		2
GCF_040822035.1	ASM4082203v1	Pseudomonas guariconensis		NY14324					GCF_040822035.1-RS_2024_07_24	Complete Genome	2024-07-24		1
GCF_015689195.1	ASM1568919v1	Pectobacterium aroidearum		L6					GCF_015689195.1-RS_2024_03_29	Complete Genome	2020-11-25		1
GCF_015377145.2	2T-2-5-2v4	Pseudomonas lundensis		2T.2.5.2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-18		2
GCF_003019925.1	ASM301992v1	Pluralibacter gergoviae		FDAARGOS_186					GCF_003019925.1-RS_2024_11_18	Complete Genome	2018-03-27		1
GCF_034508895.1	ASM3450889v1	Stenotrophomonas geniculata		FLMAT1					GCF_034508895.1-RS_2024_05_12	Complete Genome	2023-12-21		1
GCF_005144905.1	ASM514490v1	Vibrio cyclitrophicus		ECSMB14105					GCF_005144905.1-RS_2024_03_28	Complete Genome	2019-05-05		2
GCF_017498585.1	ASM1749858v1	Acinetobacter towneri		GX3					GCF_017498585.1-RS_2024_03_28	Complete Genome	2021-03-21		3
GCF_018135955.1	ASM1813595v1	Francisella philomiragia		18844					GCF_018135955.1-RS_2024_05_29	Complete Genome	2021-04-23		2
GCF_001647695.1	ASM164769v1	[Haemophilus] ducreyi		VAN2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-05-19		1
GCF_002214395.1	ASM221439v1	Vibrio rotiferianus		B64D1					GCF_002214395.1-RS_2024_03_28	Complete Genome	2017-07-05		2
GCF_002393505.1	ASM239350v1	Providencia alcalifaciens		FDAARGOS_408					GCF_002393505.1-RS_2024_03_11	Complete Genome	2017-09-28		1
GCF_000292685.1	ASM29268v1	Candidatus Portiera aleyrodidarum BT-B-HRs		BT-B					GCF_000292685.1-RS_2024_12_13	Complete Genome	2012-08-22		1
GCF_018398475.1	ASM1839847v1	Pseudomonas qingdaonensis		S-1					GCF_018398475.1-RS_2024_03_28	Complete Genome	2021-05-19		1
GCF_017167965.1	ASM1716796v1	Pseudomonas atacamensis		SM1					GCF_017167965.1-RS_2024_03_31	Complete Genome	2021-03-04		2
GCF_001874645.1	ASM187464v1	Pseudomonas frederiksbergensis		ERDD5:01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-11-10		2
GCF_000696345.2	ASM69634v2	Pseudomonas donghuensis		P482					GCF_000696345.2-RS_2024_03_28	Complete Genome	2021-06-04		1
GCF_019844095.1	ASM1984409v1	Erwinia persicina		Cp2					GCF_019844095.1-RS_2024_04_28	Complete Genome	2021-09-01		2
GCF_009649915.1	ASM964991v1	Kluyvera intermedia		N2-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-11-12		2
GCF_002370525.2	ASM237052v2	Acinetobacter guillouiae		NBRC 110550					GCF_002370525.2-RS_2024_11_26	Complete Genome	2014-08-26		1
GCF_008330085.1	ASM833008v1	Kosakonia radicincitans		DSM 107547					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-09		2
GCF_000008325.1	ASM832v1	Methylococcus capsulatus str. Bath		Bath					GCF_000008325.1-RS_2024_03_28	Complete Genome	2005-05-18		1
GCF_000156995.2	ASM15699v2	Pseudomonas coronafaciens pv. oryzae str. 1_6		1_6					GCF_000156995.2-RS_2024_03_22	Complete Genome	2019-11-20		2
GCF_000287275.1	ASM28727v1	Candidatus Carsonella ruddii HC isolate Thao2000		HC			Thao2000		GCF_000287275.1-RS_2024_04_16	Complete Genome	2012-08-13		1
GCF_022836895.1	ASM2283689v1	Pseudomonas palleroniana		Q1					GCF_022836895.1-RS_2024_04_20	Complete Genome	2022-04-08		1
GCF_021283165.2	ASM2128316v2	Pseudomonas soli		NMI4264_15					GCF_021283165.2-RS_2024_06_30	Complete Genome	2023-06-30		1
GCF_015168335.1	ASM1516833v1	Pseudomonas shirazica		A28					GCF_015168335.1-RS_2024_04_30	Complete Genome	2020-11-02		2
GCF_021560075.1	ASM2156007v1	Pseudomonas juntendi		PP_2463					GCF_021560075.1-RS_2024_12_11	Complete Genome	2022-01-24		3
GCF_032810065.1	ASM3281006v1	Alloalcanivorax xenomutans		GOM8					GCF_032810065.1-RS_2024_10_23	Complete Genome	2023-10-18		1
GCF_034011435.1	ASM3401143v1	Pseudomonas marginalis		PS92					GCF_034011435.1-RS_2024_12_01	Complete Genome	2023-12-01		1
GCF_949794035.1	EBP3064_genome	Serratia proteamaculans		EBP3064			EBP3064		GCF_949794035.1-RS_2024_05_23	Complete Genome	2023-04-16		4
GCF_011040435.1	ASM1104043v1	Pseudomonas psychrophila		KM02					GCF_011040435.1-RS_2024_11_12	Complete Genome	2020-02-29		1
GCF_009931595.1	ASM993159v1	Xanthomonas albilineans		Xa-FJ1					GCF_009931595.1-RS_2024_05_06	Complete Genome	2020-01-27		2
GCF_023195735.1	ASM2319573v1	Kluyvera ascorbata		SK					GCF_023195735.1-RS_2024_03_28	Complete Genome	2022-05-01		2
GCF_900477945.1	45473_H02	Haemophilus haemolyticus		NCTC10839					GCF_900477945.1-RS_2024_12_11	Complete Genome	2018-06-17		1
GCF_018139045.1	ASM1813904v1	Klebsiella pasteurii		Sb-24					GCF_018139045.1-RS_2024_03_28	Complete Genome	2021-04-25		2
GCF_900638135.1	56433_G01	Serratia quinivorans		NCTC13188					GCF_900638135.1-RS_2024_12_11	Complete Genome	2018-12-20		1
GCF_009931295.1	ASM993129v1	Pectobacterium odoriferum		JK2.1					GCF_009931295.1-RS_2024_04_23	Complete Genome	2020-01-27		2
GCF_003932035.1	ASM393203v1	Pectobacterium versatile		14A					GCF_003932035.1-RS_2024_04_01	Complete Genome	2018-12-10		3
GCF_004551575.1	ASM455157v1	Stenotrophomonas indicatrix		DAIF1					GCF_004551575.1-RS_2024_05_12	Complete Genome	2019-04-01		1
GCF_015689495.1	ASM1568949v1	Vreelandella venusta		PBH					GCF_015689495.1-RS_2024_04_07	Complete Genome	2020-11-25		1
GCF_013122135.1	ASM1312213v1	Acinetobacter lactucae					QL-1		GCF_013122135.1-RS_2024_12_16	Complete Genome	2020-05-19		1
GCF_014397415.1	ASM1439741v1	Pseudoxanthomonas mexicana		GTZY2					GCF_014397415.1-RS_2024_05_06	Complete Genome	2020-09-02		1
GCF_021545825.1	ASM2154582v1	Rhodanobacter denitrificans		FW104-R5					GCF_021545825.1-RS_2024_05_12	Complete Genome	2022-01-21		2
GCF_026104315.1	ASM2610431v1	Pantoea anthophila		CL1					GCF_026104315.1-RS_2024_03_29	Complete Genome	2022-11-09		4
GCF_016584425.1	ASM1658442v1	Wolbachia endosymbiont of Drosophila melanogaster					wMel		GCF_016584425.1-RS_2025_01_08	Complete Genome	2021-01-08		1
GCF_001708425.1	ASM170842v1	Pseudomonas corrugata		RM1-1-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-08-23		1
GCF_005931095.1	ASM593109v1	Methylotuvimicrobium buryatense		5GB1C					GCF_005931095.1-RS_2024_04_22	Complete Genome	2019-06-03		1
GCF_002220155.1	ASM222015v1	Azotobacter chroococcum		B3					GCF_002220155.1-RS_2024_12_13	Complete Genome	2017-07-17		4
GCF_003851555.1	ASM385155v1	Pseudomonas synxantha		R6-28-08					GCF_003851555.1-RS_2024_03_31	Complete Genome	2018-11-29		1
GCF_044095835.1	ASM4409583v1	Cedecea davisae		739Q					GCF_044095835.1-RS_2024_10_31	Complete Genome	2024-10-31		2
GCF_003403135.1	ASM340313v1	Dickeya dianthicola		ME23					GCF_003403135.1-RS_2024_04_22	Complete Genome	2018-08-19		1
GCF_000196475.1	ASM19647v1	Photorhabdus asymbiotica					ATCC43949		GCF_000196475.1-RS_2024_12_11	Complete Genome	2009-07-13		2
GCF_000196495.1	ASM19649v1	Aliivibrio salmonicida LFI1238		LFI1238					GCF_000196495.1-RS_2024_12_11	Complete Genome	2008-10-01		6
GCF_000091785.1	ASM9178v1	Legionella longbeachae NSW150		NSW150					GCF_000091785.1-RS_2024_03_28	Complete Genome	2010-02-13		2
GCF_000336465.1	ASM33646v1	Pseudomonas poae RE*1-1-14		RE*1-1-14					GCF_000336465.1-RS_2024_04_21	Complete Genome	2013-02-04		1
GCF_000196615.1	ASM19661v1	Erwinia billingiae Eb661		Eb661					GCF_000196615.1-RS_2024_12_11	Complete Genome	2010-06-22		3
GCF_002887615.1	ASM288761v1	Vibrio jasicida 090810c		090810c					GCF_002887615.1-RS_2024_04_22	Complete Genome	2018-01-17		2
GCF_000521725.1	ASM52172v1	Bibersteinia trehalosi USDA-ARS-USMARC-188		USDA-ARS-USMARC-188					GCF_000521725.1-RS_2024_12_09	Complete Genome	2014-01-22		1
GCF_012647205.1	ASM1264720v1	Pseudomonas umsongensis		CY-1					GCF_012647205.1-RS_2024_03_29	Complete Genome	2020-04-22		1
GCF_001708485.1	ASM170848v1	Pseudomonas lurida		L228					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-08-23		2
GCF_013285305.1	ASM1328530v1	Pseudomonas rhodesiae		NL2019					GCF_013285305.1-RS_2024_04_27	Complete Genome	2020-06-08		1
GCF_002288545.1	ASM228854v1	Pectobacterium polaris		NIBIO1392					GCF_002288545.1-RS_2024_07_29	Complete Genome	2017-09-08		1
GCF_030016155.2	ASM3001615v2	Xenorhabdus griffiniae		Kalro					GCF_030016155.2-RS_2024_11_06	Complete Genome	2023-09-20		1
GCF_009755585.1	ASM975558v1	Lysobacter soli		XL170					GCF_009755585.1-RS_2024_05_06	Complete Genome	2019-12-15		1
GCF_030295685.1	ASM3029568v1	Halopseudomonas aestusnigri		MFKK					GCF_030295685.1-RS_2024_06_21	Complete Genome	2023-02-03		1
GCF_020079945.1	ASM2007994v1	Pantoea eucrina		XL123					GCF_020079945.1-RS_2024_03_28	Complete Genome	2021-09-21		3
GCF_019797805.1	ASM1979780v1	Idiomarina abyssalis		MSP-CT					GCF_019797805.1-RS_2024_03_13	Complete Genome	2021-08-30		1
GCF_018128425.1	ASM1812842v1	Citrobacter sedlakii		3347689II					GCF_018128425.1-RS_2024_09_13	Complete Genome	2021-04-22		3
GCF_022369495.1	ASM2236949v1	Proteus penneri		S178-2					GCF_022369495.1-RS_2024_03_28	Complete Genome	2022-02-23		2
GCF_004768525.1	ASM476852v1	Arsenophonus nasoniae		FIN					GCF_004768525.1-RS_2024_12_02	Complete Genome	2019-04-10		18
GCF_022592395.1	ASM2259239v1	Moellerella wisconsensis		W65					GCF_022592395.1-RS_2024_04_02	Complete Genome	2022-03-16		3
GCF_040869025.1	ASM4086902v1	Vibrio scophthalmi		20FBVib0200					GCF_040869025.1-RS_2024_11_27	Complete Genome	2024-07-26		6
GCF_018972165.1	ASM1897216v1	Marinobacter adhaerens		HP15-B					GCF_018972165.1-RS_2024_04_15	Complete Genome	2021-06-21		1
GCF_008693965.1	ASM869396v1	Pseudomonas luteola		FDAARGOS_637					GCF_008693965.1-RS_2024_04_23	Complete Genome	2019-09-25		5
GCF_002952315.1	ASM295231v1	Erwinia pyrifoliae		EpK1/15					GCF_002952315.1-RS_2024_04_27	Complete Genome	2018-02-02		2
GCF_004116975.1	ASM411697v1	Proteus hauseri		15H5D-4a					GCF_004116975.1-RS_2024_04_22	Complete Genome	2019-01-29		1
GCF_024746855.1	ASM2474685v1	Pseudoalteromonas maricaloris		SCSIO 43202					GCF_024746855.1-RS_2024_08_18	Complete Genome	2022-06-15		2
GCF_000023565.1	ASM2356v1	Dickeya chrysanthemi Ech1591		Ech1591					GCF_000023565.1-RS_2024_04_22	Complete Genome	2009-07-02		1
GCF_000505725.1	ASM50572v1	Francisella orientalis LADL 07-285A		LADL--07-285A					GCF_000505725.1-RS_2024_07_25	Complete Genome	2013-12-11		1
GCF_000008385.1	ASM838v1	Wolbachia endosymbiont strain TRS of Brugia malayi					wBm		GCF_000008385.1-RS_2025_01_08	Complete Genome	2005-02-02		1
GCF_023330585.1	ASM2333058v1	Pseudomonas bijieensis		SP1					GCF_023330585.1-RS_2024_05_19	Complete Genome	2022-05-11		1
